datetime,dept_id,cat_id,item_id,state_id,store_id,sales
1/6/2014,FOODS_1,FOODS,FOODS_1_001,CA,CA_1,0
1/13/2014,FOODS_1,FOODS,FOODS_1_001,CA,CA_1,0
1/20/2014,FOODS_1,FOODS,FOODS_1_001,CA,CA_1,0
1/27/2014,FOODS_1,FOODS,FOODS_1_001,CA,CA_1,0
2/3/2014,FOODS_1,FOODS,FOODS_1_001,CA,CA_1,0
2/10/2014,FOODS_1,FOODS,FOODS_1_001,CA,CA_1,4
2/17/2014,FOODS_1,FOODS,FOODS_1_001,CA,CA_1,8
2/24/2014,FOODS_1,FOODS,FOODS_1_001,CA,CA_1,2
3/3/2014,FOODS_1,FOODS,FOODS_1_001,CA,CA_1,14
3/10/2014,FOODS_1,FOODS,FOODS_1_001,CA,CA_1,0
3/17/2014,FOODS_1,FOODS,FOODS_1_001,CA,CA_1,4
3/24/2014,FOODS_1,FOODS,FOODS_1_001,CA,CA_1,3
3/31/2014,FOODS_1,FOODS,FOODS_1_001,CA,CA_1,4
4/7/2014,FOODS_1,FOODS,FOODS_1_001,CA,CA_1,5
4/14/2014,FOODS_1,FOODS,FOODS_1_001,CA,CA_1,6
4/21/2014,FOODS_1,FOODS,FOODS_1_001,CA,CA_1,15
4/28/2014,FOODS_1,FOODS,FOODS_1_001,CA,CA_1,2
5/5/2014,FOODS_1,FOODS,FOODS_1_001,CA,CA_1,8
5/12/2014,FOODS_1,FOODS,FOODS_1_001,CA,CA_1,6
5/19/2014,FOODS_1,FOODS,FOODS_1_001,CA,CA_1,9
5/26/2014,FOODS_1,FOODS,FOODS_1_001,CA,CA_1,2
6/2/2014,FOODS_1,FOODS,FOODS_1_001,CA,CA_1,8
6/9/2014,FOODS_1,FOODS,FOODS_1_001,CA,CA_1,5
6/16/2014,FOODS_1,FOODS,FOODS_1_001,CA,CA_1,8
6/23/2014,FOODS_1,FOODS,FOODS_1_001,CA,CA_1,6
6/30/2014,FOODS_1,FOODS,FOODS_1_001,CA,CA_1,6
7/7/2014,FOODS_1,FOODS,FOODS_1_001,CA,CA_1,1
7/14/2014,FOODS_1,FOODS,FOODS_1_001,CA,CA_1,2
7/21/2014,FOODS_1,FOODS,FOODS_1_001,CA,CA_1,6
