datetime,state,store_id,category,sku,sales
1992-01-01,CO,CO_0,FOOD,FOOD_0,140593
1992-02-01,CO,CO_0,FOOD,FOOD_0,116748
1992-03-01,CO,CO_0,FOOD,FOOD_0,181757
1992-04-01,CO,CO_0,FOOD,FOOD_0,164187
1992-05-01,CO,CO_0,FOOD,FOOD_0,165672
1992-06-01,CO,CO_0,FOOD,FOOD_0,204003
1992-07-01,CO,CO_0,FOOD,FOOD_0,144131
1992-08-01,CO,CO_0,FOOD,FOOD_0,191102
1992-09-01,CO,CO_0,FOOD,FOOD_0,161986
1992-10-01,CO,CO_0,FOOD,FOOD_0,179371
1992-11-01,CO,CO_0,FOOD,FOOD_0,199659
1992-12-01,CO,CO_0,FOOD,FOOD_0,178102
1993-01-01,CO,CO_0,FOOD,FOOD_0,173202
1993-02-01,CO,CO_0,FOOD,FOOD_0,169738
1993-03-01,CO,CO_0,FOOD,FOOD_0,157435
1993-04-01,CO,CO_0,FOOD,FOOD_0,167655
1993-05-01,CO,CO_0,FOOD,FOOD_0,164807
1993-06-01,CO,CO_0,FOOD,FOOD_0,205165
1993-07-01,CO,CO_0,FOOD,FOOD_0,173655
1993-08-01,CO,CO_0,FOOD,FOOD_0,197419
1993-09-01,CO,CO_0,FOOD,FOOD_0,162510
1993-10-01,CO,CO_0,FOOD,FOOD_0,207857
1993-11-01,CO,CO_0,FOOD,FOOD_0,199524
1993-12-01,CO,CO_0,FOOD,FOOD_0,220490
1994-01-01,CO,CO_0,FOOD,FOOD_0,177464
1994-02-01,CO,CO_0,FOOD,FOOD_0,178185
1994-03-01,CO,CO_0,FOOD,FOOD_0,203077
1994-04-01,CO,CO_0,FOOD,FOOD_0,192516
1994-05-01,CO,CO_0,FOOD,FOOD_0,198548
1994-06-01,CO,CO_0,FOOD,FOOD_0,193495
1994-07-01,CO,CO_0,FOOD,FOOD_0,209955
1994-08-01,CO,CO_0,FOOD,FOOD_0,191830
1994-09-01,CO,CO_0,FOOD,FOOD_0,192890
1994-10-01,CO,CO_0,FOOD,FOOD_0,175727
1994-11-01,CO,CO_0,FOOD,FOOD_0,179157
1994-12-01,CO,CO_0,FOOD,FOOD_0,252727
1995-01-01,CO,CO_0,FOOD,FOOD_0,198656
1995-02-01,CO,CO_0,FOOD,FOOD_0,175790
1995-03-01,CO,CO_0,FOOD,FOOD_0,209049
1995-04-01,CO,CO_0,FOOD,FOOD_0,191443
1995-05-01,CO,CO_0,FOOD,FOOD_0,211644
1995-06-01,CO,CO_0,FOOD,FOOD_0,184002
1995-07-01,CO,CO_0,FOOD,FOOD_0,203678
1995-08-01,CO,CO_0,FOOD,FOOD_0,209165
1995-09-01,CO,CO_0,FOOD,FOOD_0,222109
1995-10-01,CO,CO_0,FOOD,FOOD_0,191412
1995-11-01,CO,CO_0,FOOD,FOOD_0,207743
1995-12-01,CO,CO_0,FOOD,FOOD_0,252699
1996-01-01,CO,CO_0,FOOD,FOOD_0,180517
1996-02-01,CO,CO_0,FOOD,FOOD_0,197161
1996-03-01,CO,CO_0,FOOD,FOOD_0,171106
1996-04-01,CO,CO_0,FOOD,FOOD_0,216769
1996-05-01,CO,CO_0,FOOD,FOOD_0,260009
1996-06-01,CO,CO_0,FOOD,FOOD_0,210340
1996-07-01,CO,CO_0,FOOD,FOOD_0,226589
1996-08-01,CO,CO_0,FOOD,FOOD_0,201014
1996-09-01,CO,CO_0,FOOD,FOOD_0,210827
1996-10-01,CO,CO_0,FOOD,FOOD_0,246910
1996-11-01,CO,CO_0,FOOD,FOOD_0,214390
1996-12-01,CO,CO_0,FOOD,FOOD_0,260746
1997-01-01,CO,CO_0,FOOD,FOOD_0,175043
1997-02-01,CO,CO_0,FOOD,FOOD_0,201124
1997-03-01,CO,CO_0,FOOD,FOOD_0,241401
1997-04-01,CO,CO_0,FOOD,FOOD_0,226943
1997-05-01,CO,CO_0,FOOD,FOOD_0,248416
1997-06-01,CO,CO_0,FOOD,FOOD_0,257561
1997-07-01,CO,CO_0,FOOD,FOOD_0,250322
1997-08-01,CO,CO_0,FOOD,FOOD_0,244646
1997-09-01,CO,CO_0,FOOD,FOOD_0,222527
1997-10-01,CO,CO_0,FOOD,FOOD_0,245726
1997-11-01,CO,CO_0,FOOD,FOOD_0,221727
1997-12-01,CO,CO_0,FOOD,FOOD_0,275600
1998-01-01,CO,CO_0,FOOD,FOOD_0,233501
1998-02-01,CO,CO_0,FOOD,FOOD_0,218510
1998-03-01,CO,CO_0,FOOD,FOOD_0,234140
1998-04-01,CO,CO_0,FOOD,FOOD_0,231588
1998-05-01,CO,CO_0,FOOD,FOOD_0,239537
1998-06-01,CO,CO_0,FOOD,FOOD_0,248374
1998-07-01,CO,CO_0,FOOD,FOOD_0,227404
1998-08-01,CO,CO_0,FOOD,FOOD_0,275657
1998-09-01,CO,CO_0,FOOD,FOOD_0,233619
1998-10-01,CO,CO_0,FOOD,FOOD_0,242723
1998-11-01,CO,CO_0,FOOD,FOOD_0,248574
1998-12-01,CO,CO_0,FOOD,FOOD_0,284302
1999-01-01,CO,CO_0,FOOD,FOOD_0,203438
1999-02-01,CO,CO_0,FOOD,FOOD_0,231204
1999-03-01,CO,CO_0,FOOD,FOOD_0,238311
1999-04-01,CO,CO_0,FOOD,FOOD_0,258840
1999-05-01,CO,CO_0,FOOD,FOOD_0,281005
1999-06-01,CO,CO_0,FOOD,FOOD_0,274504
1999-07-01,CO,CO_0,FOOD,FOOD_0,268212
1999-08-01,CO,CO_0,FOOD,FOOD_0,258448
1999-09-01,CO,CO_0,FOOD,FOOD_0,246282
1999-10-01,CO,CO_0,FOOD,FOOD_0,259008
1999-11-01,CO,CO_0,FOOD,FOOD_0,259054
1999-12-01,CO,CO_0,FOOD,FOOD_0,337145
2000-01-01,CO,CO_0,FOOD,FOOD_0,226122
2000-02-01,CO,CO_0,FOOD,FOOD_0,247547
2000-03-01,CO,CO_0,FOOD,FOOD_0,271557
2000-04-01,CO,CO_0,FOOD,FOOD_0,273341
2000-05-01,CO,CO_0,FOOD,FOOD_0,250397
2000-06-01,CO,CO_0,FOOD,FOOD_0,268836
2000-07-01,CO,CO_0,FOOD,FOOD_0,258697
2000-08-01,CO,CO_0,FOOD,FOOD_0,268661
2000-09-01,CO,CO_0,FOOD,FOOD_0,286823
2000-10-01,CO,CO_0,FOOD,FOOD_0,252869
2000-11-01,CO,CO_0,FOOD,FOOD_0,267371
2000-12-01,CO,CO_0,FOOD,FOOD_0,298371
2001-01-01,CO,CO_0,FOOD,FOOD_0,221936
2001-02-01,CO,CO_0,FOOD,FOOD_0,284392
2001-03-01,CO,CO_0,FOOD,FOOD_0,275011
2001-04-01,CO,CO_0,FOOD,FOOD_0,313159
2001-05-01,CO,CO_0,FOOD,FOOD_0,308148
2001-06-01,CO,CO_0,FOOD,FOOD_0,298954
2001-07-01,CO,CO_0,FOOD,FOOD_0,267803
2001-08-01,CO,CO_0,FOOD,FOOD_0,295806
2001-09-01,CO,CO_0,FOOD,FOOD_0,269774
2001-10-01,CO,CO_0,FOOD,FOOD_0,304314
2001-11-01,CO,CO_0,FOOD,FOOD_0,323706
2001-12-01,CO,CO_0,FOOD,FOOD_0,335933
2002-01-01,CO,CO_0,FOOD,FOOD_0,251041
2002-02-01,CO,CO_0,FOOD,FOOD_0,247412
2002-03-01,CO,CO_0,FOOD,FOOD_0,280351
2002-04-01,CO,CO_0,FOOD,FOOD_0,309061
2002-05-01,CO,CO_0,FOOD,FOOD_0,295637
2002-06-01,CO,CO_0,FOOD,FOOD_0,323231
2002-07-01,CO,CO_0,FOOD,FOOD_0,295806
2002-08-01,CO,CO_0,FOOD,FOOD_0,286708
2002-09-01,CO,CO_0,FOOD,FOOD_0,249978
2002-10-01,CO,CO_0,FOOD,FOOD_0,286379
2002-11-01,CO,CO_0,FOOD,FOOD_0,278653
2002-12-01,CO,CO_0,FOOD,FOOD_0,317336
2003-01-01,CO,CO_0,FOOD,FOOD_0,297468
2003-02-01,CO,CO_0,FOOD,FOOD_0,239613
2003-03-01,CO,CO_0,FOOD,FOOD_0,298350
2003-04-01,CO,CO_0,FOOD,FOOD_0,284295
2003-05-01,CO,CO_0,FOOD,FOOD_0,325793
2003-06-01,CO,CO_0,FOOD,FOOD_0,270731
2003-07-01,CO,CO_0,FOOD,FOOD_0,323532
2003-08-01,CO,CO_0,FOOD,FOOD_0,358062
2003-09-01,CO,CO_0,FOOD,FOOD_0,292699
2003-10-01,CO,CO_0,FOOD,FOOD_0,283723
2003-11-01,CO,CO_0,FOOD,FOOD_0,281555
2003-12-01,CO,CO_0,FOOD,FOOD_0,336425
2004-01-01,CO,CO_0,FOOD,FOOD_0,291763
2004-02-01,CO,CO_0,FOOD,FOOD_0,295762
2004-03-01,CO,CO_0,FOOD,FOOD_0,325034
2004-04-01,CO,CO_0,FOOD,FOOD_0,343592
2004-05-01,CO,CO_0,FOOD,FOOD_0,327394
2004-06-01,CO,CO_0,FOOD,FOOD_0,338102
2004-07-01,CO,CO_0,FOOD,FOOD_0,314660
2004-08-01,CO,CO_0,FOOD,FOOD_0,322003
2004-09-01,CO,CO_0,FOOD,FOOD_0,301188
2004-10-01,CO,CO_0,FOOD,FOOD_0,353781
2004-11-01,CO,CO_0,FOOD,FOOD_0,286525
2004-12-01,CO,CO_0,FOOD,FOOD_0,361991
2005-01-01,CO,CO_0,FOOD,FOOD_0,330766
